中关村商圈 远中悦来精装两居出租 紧邻微软新东方 可短租,远中悦莱国际酒店公寓,10500,http://bj.ganji.com/fang1/2558106126x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-It5zod1nUitsty_CHTEDhBSfPeLMnkYQ08JaSncgafca-QUc6hx4JL6RXwxOpWeaj4UwSZrSwzvECHxHhx7xengA&trackkey=5014164ffcb164f031af77be713cf6c4
为你而选为你为家 车公庄西路38号院 电梯房 拎包入住,车公庄西路38号院,7000,http://bj.ganji.com/fang1/2644602893x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-Itc-lLDtDrfZe75UN8_HP_FEF7Swu4NrQRCqIvC6mtpgVXdUdwcblOUmt8GFtgjQGbsF0_CC_QQPFrfBhbYI0Bm-7hi04Sslop&trackkey=50c1430eb9d95fbc3048ac3dff9fc4fc
小西天北邮北师大学院南路精装南北二居 可月付装修好楼层低,学院南路乙12号院,6390,http://bj.ganji.com/fang1/2547701026x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-Itb7W4R-_Zqsly_CHTEDhBSa2qjbB-5DYoZHbaiMsGyU-QUc6hx4JL6Xyw7hh8NxxwUwSZrSwzvEBnfkidH-1zew&trackkey=d93a5ac84cf69d8c0ce7fdc52e599865
为你而选为你为家 中信锦园东西通透两居 看房方便有钥匙 空房,中信锦园,12000,http://bj.ganji.com/fang1/2523893308x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-ItDptBtDeYAKJYdtZgunq8u_PeLMnkYQ08lL0Ec1O5e2aQUc6hx4JL6e-q4NRFa34MUwSZrSwzvEBjRuhZbQdbEw&trackkey=ec6e377f6cc0bf662dbc808f5e4ff449
为你而选为你为家 华茂国际公寓 精装一居 为你而来,国贸华贸国际公寓,13000,http://bj.ganji.com/fang1/2551473732x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-ItR9Kcz4nLvSfRk0FBiAG09EF7Swu4NrQRBwnPZCFv-_ZXdUdwcblOUkBm1qZF1xG-sF0_CC_QQPFAZtamRdcRvu7hi04Sslop&trackkey=03cfa38d65309c55309c36db22e9f7e4
押一付一、魏公村地铁站附近、堵门独户独立卫生间没有厨房随时看,魏公村9号院,3300,http://bj.ganji.com/fang1/2543945533x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-ItZX5cmYeDRnRNz19P-JBkw6OJxzntlkvq9mohoiNWyvuQUc6hx4JL6VqWmALS6VnWUwSZrSwzvEA8OnfwHTFF5w&trackkey=bff84f849eab187e8d843a2e8b377db7
四惠爱这城双卫全南大两居拎包住 都会华庭东恒时代远洋天地随时,爱这城二期,9000,http://bj.ganji.com/fang1/2538019443x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-Itbv_frW1h2BhI5HkwejowWvPeLMnkYQ087sWc3cd6IhqQUc6hx4JL6ZY3b-UZYVvW2CdAyBmmPmWWN2_lGWFb1mzf6nbWJEzb&trackkey=2451676848b937587191fb1f6ad305ed
13号线柳芳 国展 和平东桥 光熙家园 和平街精装2居出租,和平街十五区,5600,http://bj.ganji.com/fang1/2649047480x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-ItXs7Snps5L0FOW1-D_yBa5smIoCqUoclQTKBJtAfLmViQUc6hx4JL6ZlGNU9hkoFtUwSZrSwzvECYKHvGAuJnjQ&trackkey=ca63676042ec0cdbc180989480439420
为你而选为你为家 精装修 高层 看房方便 诚意出租, 朝外租房,55000,http://bj.ganji.com/fang1/2642621810x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-ItgOXgjdLg7Vi_F5Z9GCI29vPeLMnkYQ08qVaaIdbrWTyQUc6hx4JL6VXJ9aPhCqjMUwSZrSwzvEDizmrX7qdv4g&trackkey=749a09ea4f0b810ef55b4c19c5203c73
有钥匙房源，随时可看，东亚上北1室诚心出租,东亚上北中心,4300,http://bj.ganji.com/fang1/2561034753x.htm?jingxuan=INKicKZPP1X6Hu04910OelFm4eEH5-IteQTcc5JO_hPLNy11LNfRHQKGJy_rVr5fUQ5Ua7FhYrGQUc6hx4JL6aIhWSIC44vzUwSZrSwzvEChvjY1B9pxkA&trackkey=63e96d8fa090982abc19ae9eecd0d49d
